Influenza Virological Surveillance -> Guest user -> Number of influenza viruses detected -> A(H1N1)pdm09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Periodicity: Week, Applied Time Period: from 1/2008 to 53/2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008 week: 1,2008 week: 2,2008 week: 3,2008 week: 4,2008 week: 5,2008 week: 6,2008 week: 7,2008 week: 8,2008 week: 9,2008 week: 10,2008 week: 11,2008 week: 12,2008 week: 13,2008 week: 14,2008 week: 15,2008 week: 16,2008 week: 17,2008 week: 18,2008 week: 19,2008 week: 20,2008 week: 21,2008 week: 22,2008 week: 23,2008 week: 24,2008 week: 25,2008 week: 26,2008 week: 27,2008 week: 28,2008 week: 29,2008 week: 30,2008 week: 31,2008 week: 32,2008 week: 33,2008 week: 34,2008 week: 35,2008 week: 36,2008 week: 37,2008 week: 38,2008 week: 39,2008 week: 40,2008 week: 41,2008 week: 42,2008 week: 43,2008 week: 44,2008 week: 45,2008 week: 46,2008 week: 47,2008 week: 48,2008 week: 49,2008 week: 50,2008 week: 51,2008 week: 52,2009 week: 1,2009 week: 2,2009 week: 3,2009 week: 4,2009 week: 5,2009 week: 6,2009 week: 7,2009 week: 8,2009 week: 9,2009 week: 10,2009 week: 11,2009 week: 12,2009 week: 13,2009 week: 14,2009 week: 15,2009 week: 16,2009 week: 17,2009 week: 18,2009 week: 19,2009 week: 20,2009 week: 21,2009 week: 22,2009 week: 23,2009 week: 24,2009 week: 25,2009 week: 26,2009 week: 27,2009 week: 28,2009 week: 29,2009 week: 30,2009 week: 31,2009 week: 32,2009 week: 33,2009 week: 34,2009 week: 35,2009 week: 36,2009 week: 37,2009 week: 38,2009 week: 39,2009 week: 40,2009 week: 41,2009 week: 42,2009 week: 43,2009 week: 44,2009 week: 45,2009 week: 46,2009 week: 47,2009 week: 48,2009 week: 49,2009 week: 50,2009 week: 51,2009 week: 52,2009 week: 53,2010 week: 1,2010 week: 2,2010 week: 3,2010 week: 4,2010 week: 5,2010 week: 6,2010 week: 7,2010 week: 8,2010 week: 9,2010 week: 10,2010 week: 11,2010 week: 12,2010 week: 13,2010 week: 14,2010 week: 15,2010 week: 16,2010 week: 17,2010 week: 18,2010 week: 19,2010 week: 20,2010 week: 21,2010 week: 22,2010 week: 23,2010 week: 24,2010 week: 25,2010 week: 26,2010 week: 27,2010 week: 28,2010 week: 29,2010 week: 30,2010 week: 31,2010 week: 32,2010 week: 33,2010 week: 34,2010 week: 35,2010 week: 36,2010 week: 37,2010 week: 38,2010 week: 39,2010 week: 40,2010 week: 41,2010 week: 42,2010 week: 43,2010 week: 44,2010 week: 45,2010 week: 46,2010 week: 47,2010 week: 48,2010 week: 49,2010 week: 50,2010 week: 51,2010 week: 52,2011 week: 1,2011 week: 2,2011 week: 3,2011 week: 4,2011 week: 5,2011 week: 6,2011 week: 7,2011 week: 8,2011 week: 9,2011 week: 10,2011 week: 11,2011 week: 12,2011 week: 13,2011 week: 14,2011 week: 15,2011 week: 16,2011 week: 17,2011 week: 18,2011 week: 19,2011 week: 20,2011 week: 21,2011 week: 22,2011 week: 23,2011 week: 24,2011 week: 25,2011 week: 26,2011 week: 27,2011 week: 28,2011 week: 29,2011 week: 30,2011 week: 31,2011 week: 32,2011 week: 33,2011 week: 34,2011 week: 35,2011 week: 36,2011 week: 37,2011 week: 38,2011 week: 39,2011 week: 40,2011 week: 41,2011 week: 42,2011 week: 43,2011 week: 44,2011 week: 45,2011 week: 46,2011 week: 47,2011 week: 48,2011 week: 49,2011 week: 50,2011 week: 51,2011 week: 52,2012 week: 1,2012 week: 2,2012 week: 3,2012 week: 4,2012 week: 5,2012 week: 6,2012 week: 7,2012 week: 8,2012 week: 9,2012 week: 10,2012 week: 11,2012 week: 12,2012 week: 13,2012 week: 14,2012 week: 15,2012 week: 16,2012 week: 17,2012 week: 18,2012 week: 19,2012 week: 20,2012 week: 21,2012 week: 22,2012 week: 23,2012 week: 24,2012 week: 25,2012 week: 26,2012 week: 27,2012 week: 28,2012 week: 29,2012 week: 30,2012 week: 31,2012 week: 32,2012 week: 33,2012 week: 34,2012 week: 35,2012 week: 36,2012 week: 37,2012 week: 38,2012 week: 39,2012 week: 40,2012 week: 41,2012 week: 42,2012 week: 43,2012 week: 44,2012 week: 45,2012 week: 46,2012 week: 47,2012 week: 48,2012 week: 49,2012 week: 50,2012 week: 51,2012 week: 52
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , ,109,186,265,347,323,578,"1,071","1,124","1,237","1,246",799,457,202,194,108,63,32,22,5,5,2,2,0,1,1,5,4,3,2,0,0,6,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,4,5,5,14,17,57,173,371,461,569,436,277,181,124,55,27,21,9,8,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,14,7,12,8,5,6,7,7,5, , ,3,2,1,28,39,14, , , , ,77,37,43,50,36,33,5,5,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,10,18,11,35,30,54,49,66,91,61,59,48,24,14,6,8,3,1,3,0,1,0,0,2,1,0,1,1,2,1,3,2,2,5,4,8,1,7,5,7,3,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,5,6,3,7,4,9,9,9,4,4,5,4,4,3,1,4,5,1,5,0,0,3,4,6,1,2,5,3,2,2
Sudan, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0,1,1,0,0,0,0,0,0,0, , ,1,0,8,7,23,14,5,3,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Suriname, , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,21,14,38,68,185,106,92,71,72,110,182,211,148,113,69,68,120,227,437,780,"1,302","2,472","2,487","1,348",436,165,70,18,12,4,7,5,2,3,5,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,13,24,67,199,186,155,142,99,92,54,40,29,27,21,12,19,5,4,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,1,0,0,1,0,1,1,1,1,10,1,8,10,6,11,7,4,6,15,15,15,10,15,9,7,5,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,2,1,0,4,5,9,41,56
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,6,11,6,22,61,53,56,104,136,144,25,10,7,2,2,2,3,4,5,6,28,55,142,248,180,99,69,68,39,14,25,7,3,6,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,8,4,47,80,113,97,98,132,145,105,112,44,19,12,6,4,4,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,2,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,1
Syrian Arab Republic, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , 
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,2,8,21,6,72,40,20,7,30,29,17,19,24,9,28,26,17,26,12,8,4,4,5,8,5,7,13,10,4,5,37,47,48,58,72,72,64,33,32,33,16,9,6,1,1,0,2,4,5,1,0,3,4,3,9,2,17,16,14,28,27,43,65,79,70,64,63,67,18,29,24,35,9,1,0,2,0,0,1,2, ,0,4,4,0,3,1,1,0,1,1,2,5,1,1,1,6,2,1,0,3,5,3,2,1,0,1,0,0,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,12, ,0,3,0,0,1,0,0,0,0,1,0,3,0,0,0,2,1,0,0,1,0,2,2,1,0,4,4,6,5,11,2,18,23,18, ,18,26,26,14,21,8,11,3,4,5,3,4,2,1,2,0, 
The former Yugoslav Republic of Macedonia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , ,0,0,0,0,1,2,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Togo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,2,2,2,2,4,1,0
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,2,1,2,2,7, ,3,13,10,8,5,3,0, , ,20,6,1,0,38,50,158,237,174,100,169,130,189,73,66,20,17,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,2,3, ,10,6,4,12,13,26,23,13,19,4,11,3,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,10,5, , , , , , , , , , , ,2,3,81,526,846,841,996,"1,232",863,705,734,353,151,62,40,21,7,3,3,3,1,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,11,47,49,62,58,57,57,30,22,12,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,1,1,1,0,0,0,7,6,13
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,2,1,6,11,19,16,5,49,35,34,4,6,13,1,0,0,0,0, , ,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,0,0,3,1,2,3,2,0,2,13, ,7,4,0,0,0,0,2,0,0,0,1,2,0,0,1,2,3,2,2,3,0,1,0,0,0,2,0,2,0,1,1,3,2,5,9,7,1,3,4,5,4,1,6,12,1,2,0,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, , 
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,105,52,150,64,45,84,71,51,41,22,18,85,17,24,98,163,34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,12,9,18,41,108,165,116,277,88,75,17,20,3,3, ,0,0, ,0,0, , ,0, ,0, ,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,0, ,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,20,29,24,57,110,143,94,66,71,37,26,16,51,26,22,53,68,70,104,163,240,286,343,276,216,190,149,87,24,65,4,3,27,18,26,10,17,14,6,4,2,6,9,0,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,0,12,14,7,8,22,45,94,272,742,653,745,599,165,95,46,11,4,8,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,2,2,1,2,3,2,5,3,9,16,13
United Republic of Tanzania, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23,26,11,30,51,91,145,83,33,13,4,15,78,11,14,32, ,0,0,3,7,4,3,0,5,8,2,10,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,5,2,2,3,0,0,0,0,0,0,0,1,0,0,2,2,0,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,1,3,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,1,4,5,2,6,11,6,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,"1,493","2,518","1,785","2,673","2,840","3,646","3,922","4,395","3,166","2,389","2,590","2,087","1,856","1,879","1,298","1,265","1,600","1,383","1,884","2,294","2,617","2,858","3,847","6,121","8,627","9,735","7,738","6,081","4,629","2,715","1,408",997,610,480,251,285,266,261,317,268,290,238,260,316,338,359,259,178,167,96,56,17,16,20,6,7,0,3,1,1,3,1,0,1,2,1,4,7,5,10,7,9,5,0,2,7,13,8,13,12,15,23,11,34,46,83,98,190,328,546,816,"1,040","1,193","1,235","1,397","1,138",939,664,435,259,161,87,46,30,9,11,2,0,2,1,0,2,0,2,2,0,0,0,3,0,2,0,2,1,0,0,1,3,0,2,0,1,2,0,3,2,5,4,7,4,16,31,50,84,124,164,220,295,443,494,574,436,306,266,187,123,82,64,39,34,18,16,16,9,3,3,5,4,0,2,1,3,6,7,1,1,0,4,3,3,7,4,3,4,5,8,8,17,36,49,54,78
Uruguay, , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , ,0, ,0, ,0,0, , ,0,0, ,0,0, , ,15, , ,51,140,116,47,27,15,21,8,5,2,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,9,21,25,28,38,53,24,24,1,3,0,0, , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, , , , , , , , , , , , , 
Uzbekistan, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,2,3,1,4,11,33,314,576,403,385,172,62,51,29,29,30,24,21,22,25,19,22,15,7,17,9,14,17,2,4,5,2,5,3,3,2,2,3,2,6,2,2,3,1,4,2,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Viet Nam,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,9,17,24,27,11,38,75,82,54,68,37,41,39,30,26,27,24,15,12,10,4,6, ,3,7,2,5,4,2, ,7,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,1,0,0,3,1,4,2,2,1,3,1,0,1,1,4,5,4,8,6,6,25,23,27,0,5,28,38,39,60,50,25,32,10,8,6,22,12,6,16,14,11,15,6,5,4,12,15,26,20,18,28,23,19,31,21,16,23,28,20,19,14,25,11,13,4,5,6,0,1,2,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
